,team,matchweek,Match Report
0,Arsenal-Stats,Matchweek 1,https://fbref.com/en/matches/0e815975/Arsenal-Liverpool-August-14-2016-Premier-League
1,Arsenal-Stats,Matchweek 2,https://fbref.com/en/matches/7dcbb8b3/Leicester-City-Arsenal-August-20-2016-Premier-League
2,Arsenal-Stats,Matchweek 3,https://fbref.com/en/matches/b123da8c/Watford-Arsenal-August-27-2016-Premier-League
3,Arsenal-Stats,Matchweek 4,https://fbref.com/en/matches/a8053d4d/Arsenal-Southampton-September-10-2016-Premier-League
4,Arsenal-Stats,Matchweek 5,https://fbref.com/en/matches/f2805e6a/Hull-City-Arsenal-September-17-2016-Premier-League
5,Arsenal-Stats,Matchweek 6,https://fbref.com/en/matches/61b1eca2/North-West-London-Derby-Arsenal-Chelsea-September-24-2016-Premier-League
6,Arsenal-Stats,Matchweek 7,https://fbref.com/en/matches/28458ed0/Burnley-Arsenal-October-2-2016-Premier-League
7,Arsenal-Stats,Matchweek 8,https://fbref.com/en/matches/90730896/Arsenal-Swansea-City-October-15-2016-Premier-League
8,Arsenal-Stats,Matchweek 9,https://fbref.com/en/matches/bdbf5bba/Arsenal-Middlesbrough-October-22-2016-Premier-League
9,Arsenal-Stats,Matchweek 10,https://fbref.com/en/matches/ed5de6ff/Sunderland-Arsenal-October-29-2016-Premier-League
10,Arsenal-Stats,Matchweek 11,https://fbref.com/en/matches/61ae4b5a/North-London-Derby-Arsenal-Tottenham-Hotspur-November-6-2016-Premier-League
11,Arsenal-Stats,Matchweek 12,https://fbref.com/en/matches/abb1ca5c/Manchester-United-Arsenal-November-19-2016-Premier-League
12,Arsenal-Stats,Matchweek 13,https://fbref.com/en/matches/40ece6d2/Arsenal-Bournemouth-November-27-2016-Premier-League
13,Arsenal-Stats,Matchweek 14,https://fbref.com/en/matches/432b5d0c/West-Ham-United-Arsenal-December-3-2016-Premier-League
14,Arsenal-Stats,Matchweek 15,https://fbref.com/en/matches/fec71c04/Arsenal-Stoke-City-December-10-2016-Premier-League
15,Arsenal-Stats,Matchweek 16,https://fbref.com/en/matches/058313b0/Everton-Arsenal-December-13-2016-Premier-League
16,Arsenal-Stats,Matchweek 17,https://fbref.com/en/matches/18115cd0/Manchester-City-Arsenal-December-18-2016-Premier-League
17,Arsenal-Stats,Matchweek 18,https://fbref.com/en/matches/32a93ec5/Arsenal-West-Bromwich-Albion-December-26-2016-Premier-League
18,Arsenal-Stats,Matchweek 19,https://fbref.com/en/matches/b0f63c70/Arsenal-Crystal-Palace-January-1-2017-Premier-League
19,Arsenal-Stats,Matchweek 20,https://fbref.com/en/matches/f4a549b2/Bournemouth-Arsenal-January-3-2017-Premier-League
20,Arsenal-Stats,Matchweek 21,https://fbref.com/en/matches/1a4da26d/Swansea-City-Arsenal-January-14-2017-Premier-League
21,Arsenal-Stats,Matchweek 22,https://fbref.com/en/matches/ff6cad57/Arsenal-Burnley-January-22-2017-Premier-League
22,Arsenal-Stats,Matchweek 23,https://fbref.com/en/matches/eef8e264/Arsenal-Watford-January-31-2017-Premier-League
23,Arsenal-Stats,Matchweek 24,https://fbref.com/en/matches/748207ea/North-West-London-Derby-Chelsea-Arsenal-February-4-2017-Premier-League
24,Arsenal-Stats,Matchweek 25,https://fbref.com/en/matches/37825164/Arsenal-Hull-City-February-11-2017-Premier-League
25,Arsenal-Stats,Matchweek 27,https://fbref.com/en/matches/f06bb82f/Liverpool-Arsenal-March-4-2017-Premier-League
